55,阿,罢,薄,笨,辨,补,仓,拆
55,挨,白,饱,蹦,标,捕,舱,差
55,挨,百,宝,逼,表,不,藏,柴
55,矮,摆,保,鼻,别,布,操,缠
55,爱,败,报,比,别,步,曹,产
55,安,拜,抱,彼,宾,部,槽,长
55,氨,班,杯,笔,冰,擦,草,场
55,岸,般,背,必,兵,猜,册,肠
55,按,搬,北,闭,丙,才,侧,尝
55,案,板,贝,壁,炳,材,测,常
55,暗,版,备,避,饼,财,层,厂
55,凹,办,背,臂,屏,采,曾,场
55,熬,半,倍,边,并,彩,叉,唱
55,八,伴,被,编,病,踩,差,抄
55,巴,瓣,辈,鞭,拨,菜,插,超
55,扒,帮,奔,扁,波,蔡,茶,巢
55,拔,棒,本,变,伯,参,查,朝
55,把,包,苯,便,薄,残,察,潮
55,爸,炮,奔,遍,薄,蚕,叉,吵
56,炒,处,寸,登,都,二,缝,稿
56,车,楚,错,蹬,兜,发,佛,告
56,扯,处,搭,等,斗,罚,否,搁
56,撤,畜,打,邓,抖,法,夫,割
56,臣,触,达,瞪,斗,发,伏,歌
56,尘,川,答,低,豆,番,扶,格
56,沉,穿,打,滴,逗,翻,服,隔
56,陈,传,大,敌,都,凡,浮,个
56,称,船,呆,抵,毒,繁,幅,各
56,趁,喘,待,底,独,反,福,给
56,称,串,代,地,读,返,府,根
56,撑,创,带,帝,堵,犯,腐,跟
56,成,窗,待,递,杜,饭,付,更
56,呈,床,袋,第,度,泛,负,耕
56,诚,幢,戴,点,渡,范,妇,更
56,承,闯,担,碘,端,方,附,工
56,城,创,单,电,短,防,服,弓
56,乘,吹,胆,店,段,房,赴,公
56,盛,垂,石,垫,断,访,复,功
56,程,锤,但,雕,堆,放,副,攻
56,秤,春,担,吊,队,飞,赋,供
56,吃,纯,淡,调,对,非,富,宫
56,池,唇,弹,掉,吨,肥,腹,汞
56,迟,词,蛋,爹,蹲,匪,该,拱
56,持,辞,氮,跌,顿,肺,改,共
56,尺,磁,当,迭,多,废,钙,供
56,齿,雌,挡,叠,夺,费,盖,沟
56,赤,此,党,丁,度,分,干,钩
56,翅,次,当,盯,朵,粉,杆,狗
56,冲,刺,刀,钉,躲,分,肝,构
56,充,赐,导,顶,阿,份,杆,购
56,虫,从,岛,订,俄,粪,赶,够
56,重,丛,倒,钉,鹅,丰,敢,古
56,冲,凑,到,定,额,风,感,谷
56,抽,粗,倒,丢,恶,封,干,股
56,愁,促,道,东,饿,峰,刚,骨
56,丑,簇,稻,冬,恩,锋,纲,鼓
56,臭,窜,得,懂,儿,蜂,钢,固
56,出,催,德,动,而,冯,港,故
56,初,村,得,冻,尔,缝,高,顾
56,除,存,灯,洞,耳,奉,搞,雇
57,瓜,行,互,货,间,结,境,抗
57,刮,号,户,获,肩,接,镜,炕
57,挂,好,护,击,兼,街,究,考
57,拐,号,沪,机,拣,节,九,靠
57,怪,好,花,肌,茧,结,久,科
57,关,耗,划,鸡,捡,截,酒,棵
57,观,呵,华,积,检,解,旧,颗
57,官,喝,滑,基,减,戒,救,壳
57,冠,合,化,激,剪,届,就,咳
57,馆,何,划,及,简,界,车,可
57,管,和,华,级,碱,借,居,克
57,观,河,画,极,见,解,局,刻
57,冠,荷,话,即,件,斤,举,客
57,惯,核,怀,急,建,今,巨,课
57,灌,盒,坏,集,剑,金,句,肯
57,光,颌,还,几,键,津,具,啃
57,广,和,环,己,箭,仅,俱,坑
57,逛,荷,缓,挤,江,尽,剧,空
57,归,喝,换,脊,将,紧,据,孔
57,硅,黑,唤,计,浆,尽,距,空
57,鬼,很,患,记,讲,进,聚,口
57,贵,恨,荒,系,奖,近,捐,扣
57,桂,恒,慌,季,蒋,劲,圈,哭
57,跪,横,黄,剂,降,晋,卷,苦
57,滚,横,晃,济,将,浸,卷,库
57,郭,轰,晃,既,强,茎,圈,跨
57,锅,哄,灰,继,交,京,决,块
57,国,红,挥,祭,浇,经,角,快
57,果,洪,回,寄,胶,惊,觉,宽
57,裹,哄,毁,加,教,晶,绝,款
57,过,哄,会,夹,焦,精,嚼,筐
57,哈,后,绘,家,嚼,鲸,军,狂
57,还,厚,婚,夹,角,井,均,矿
57,海,候,混,甲,脚,颈,君,亏
57,害,乎,魂,钾,搅,景,菌,捆
57,含,和,混,假,叫,劲,卡,困
57,寒,弧,和,价,觉,径,开,阔
57,喊,胡,活,架,校,净,看,拉
57,汉,壶,火,假,较,竟,砍,拉
57,汗,湖,或,嫁,教,敬,看,落
57,旱,虎,和,尖,皆,静,扛,蜡
58,来,链,龙,买,秒,囊,潘,颇
58,赖,良,笼,迈,妙,脑,攀,迫
58,兰,凉,拢,麦,庙,闹,盘,破
58,栏,梁,笼,卖,灭,内,判,扑
58,蓝,量,弄,脉,民,嫩,盼,铺
58,烂,粮,搂,蛮,名,能,旁,谱
58,狼,两,楼,瞒,明,泥,胖,铺
58,浪,亮,搂,满,鸣,拟,抛,七
58,捞,凉,漏,慢,命,你,泡,期
58,劳,辆,露,忙,摸,逆,炮,漆
58,牢,量,炉,猫,模,年,跑,齐
58,老,了,卤,毛,膜,念,泡,其
58,落,料,鲁,冒,摩,娘,炮,奇
58,乐,咧,陆,帽,磨,鸟,胚,骑
58,累,列,录,没,抹,尿,陪,旗
58,雷,猎,鹿,枚,末,捏,配,起
58,累,裂,路,眉,没,您,喷,气
58,泪,邻,露,梅,抹,宁,盆,弃
58,类,林,驴,煤,莫,拧,彭,砌
58,累,临,旅,酶,墨,凝,棚,器
58,冷,淋,铝,每,磨,拧,捧,卡
58,愣,磷,缕,美,谋,宁,碰,千
58,离,灵,律,镁,某,拧,批,迁
58,梨,铃,率,闷,母,牛,披,牵
58,犁,零,绿,门,亩,扭,皮,铅
58,礼,龄,氯,闷,木,农,脾,前
58,李,令,滤,蒙,目,浓,匹,钱
58,里,岭,卵,蒙,墓,脓,偏,潜
58,理,领,乱,猛,幕,弄,篇,浅
58,力,另,略,蒙,拿,怒,片,遣
58,历,令,轮,孟,哪,女,骗,欠
58,立,溜,论,梦,那,暖,飘,嵌
58,利,刘,罗,迷,纳,欧,票,枪
58,例,留,络,谜,钠,偶,贫,腔
58,粒,流,落,米,乃,扒,品,强
58,俩,硫,抹,密,奶,爬,平,墙
58,连,瘤,麻,蜜,耐,怕,评,抢
58,联,柳,马,棉,男,拍,凭,强
58,脸,六,码,免,南,排,屏,敲
58,练,陆,骂,面,难,牌,瓶,桥
58,炼,溜,埋,苗,难,派,坡,瞧
59,巧,,,,,,,
59,壳,嚷,沙,甚,守,寺,痰,挺
59,切,让,纱,升,首,似,叹,通
59,且,绕,砂,生,受,松,探,同
59,切,惹,傻,声,授,宋,碳,铜
